season,week,celebrity_name,v_hat,is_eliminated_that_week
11,1,Margaret Cho,0.10973144691226758,0
11,1,The Situation,0.10973144548940893,0
11,1,Michael Bolton,0.10532634317836506,0
11,1,Bristol Palin,0.09651810980492513,0
11,1,Florence Henderson,0.09651563660459779,0
11,1,Kurt Warner,0.0921104992007729,0
11,1,Audrina Patridge,0.0921102543734255,0
11,1,Rick Fox,0.07889429391110975,0
11,1,Kyle Massey,0.07448891576093696,0
11,1,Brandy,0.07448891576019347,0
11,1,Jennifer Grey,0.07008413887442512,0
11,1,David Hasselhoff,1.2957180049342397e-10,1
11,2,Margaret Cho,0.11314850816108402,0
11,2,The Situation,0.1130963904848554,0
11,2,Florence Henderson,0.10859787385747639,0
11,2,Rick Fox,0.09954830972178645,0
11,2,Kurt Warner,0.09954830972178645,0
11,2,Brandy,0.09954830972178645,0
11,2,Bristol Palin,0.09502146328932623,0
11,2,Kyle Massey,0.09502145034697237,0
11,2,Audrina Patridge,0.0904970714105342,0
11,2,Jennifer Grey,0.08597231285270408,0
11,2,Michael Bolton,4.3168807090174895e-10,1
11,3,Bristol Palin,0.1271999008538463,0
11,3,Florence Henderson,0.12267418911891317,0
11,3,The Situation,0.12267418911891317,0
11,3,Kurt Warner,0.10911039944067022,0
11,3,Kyle Massey,0.10909131932754415,0
11,3,Jennifer Grey,0.10457522410834462,0
11,3,Rick Fox,0.10457522410834462,0
11,3,Brandy,0.10457522410834462,0
11,3,Audrina Patridge,0.0955243293038229,0
11,3,Margaret Cho,5.112561709935184e-10,1
11,4,Bristol Palin,0.15083987827505566,0
11,4,Kurt Warner,0.14525092623755106,0
11,4,Florence Henderson,0.14245633593911405,0
11,4,Rick Fox,0.13128398374301722,0
11,4,Kyle Massey,0.1284935543559981,0
11,4,Audrina Patridge,0.11173268093256605,0
11,4,Brandy,0.10614530175860626,0
11,4,Jennifer Grey,0.08379733848024659,0
11,4,The Situation,2.7784488499334134e-10,1
11,5,Bristol Palin,0.17032986759885163,0
11,5,Kyle Massey,0.15934097150786142,0
11,5,Audrina Patridge,0.1428568372479348,0
11,5,Rick Fox,0.13736277640098393,0
11,5,Kurt Warner,0.13736277640098393,0
11,5,Jennifer Grey,0.1318679690911523,0
11,5,Brandy,0.12087880156015082,0
11,5,Florence Henderson,1.9208106290054055e-10,1
11,6,Kurt Warner,0.2012876228243405,0
11,6,Bristol Palin,0.17230254005946774,0
11,6,Jennifer Grey,0.16746759173642106,0
11,6,Kyle Massey,0.16264377991048098,0
11,6,Rick Fox,0.16263954485942977,0
11,6,Brandy,0.13365892038912086,0
11,6,Audrina Patridge,2.207389773077724e-10,1
11,7,Bristol Palin,0.21103109492497116,0
11,7,Kyle Massey,0.20623491341151162,0
11,7,Kurt Warner,0.19904058002420388,0
11,7,Jennifer Grey,0.19184670568772555,0
11,7,Brandy,0.19184670568772555,0
11,7,Rick Fox,2.6386213721094046e-10,1
11,8,Bristol Palin,0.2773584382521651,0
11,8,Kyle Massey,0.24339622080925205,0
11,8,Jennifer Grey,0.23962269523580174,0
11,8,Brandy,0.2396226446460303,0
11,8,Kurt Warner,1.056750782332938e-09,1
11,9,Bristol Palin,0.35087614670930156,0
11,9,Kyle Massey,0.3289474712226751,0
11,9,Jennifer Grey,0.3201763815827174,0
11,9,Brandy,4.85306112563533e-10,1
