season,week,celebrity_name,v_hat,is_eliminated_that_week
11,1,The Situation,0.10973343774534149,0
11,1,Margaret Cho,0.1097317185939756,0
11,1,Michael Bolton,0.10532690323816885,0
11,1,Florence Henderson,0.0965133154543458,0
11,1,Bristol Palin,0.09651331464257949,0
11,1,Kurt Warner,0.09211134813872857,0
11,1,Audrina Patridge,0.09211134813872857,0
11,1,Rick Fox,0.07889585808240618,0
11,1,Brandy,0.07448931236691356,0
11,1,Kyle Massey,0.07448931236680804,0
11,1,Jennifer Grey,0.07008413105324536,0
11,1,David Hasselhoff,1.787586813550657e-10,1
11,2,Margaret Cho,0.11312089030074202,0
11,2,The Situation,0.11312089030074202,0
11,2,Florence Henderson,0.10859661020168007,0
11,2,Rick Fox,0.09954876463190247,0
11,2,Kurt Warner,0.09954876463190247,0
11,2,Brandy,0.09954876463190247,0
11,2,Bristol Palin,0.09502225851852014,0
11,2,Kyle Massey,0.09502224520043924,0
11,2,Audrina Patridge,0.09049717497815021,0
11,2,Jennifer Grey,0.08597363638505158,0
11,2,Michael Bolton,2.189672221465865e-10,1
11,3,Bristol Palin,0.12719972145702102,0
11,3,Florence Henderson,0.12267515555473359,0
11,3,The Situation,0.12267515555473359,0
11,3,Kyle Massey,0.10909987678125115,0
11,3,Kurt Warner,0.10909987678125115,0
11,3,Jennifer Grey,0.10457497065831653,0
11,3,Rick Fox,0.10457497065831653,0
11,3,Brandy,0.10457497065831653,0
11,3,Audrina Patridge,0.09552530173429997,0
11,3,Margaret Cho,1.6175994928310188e-10,1
11,4,Bristol Palin,0.1508375469649933,0
11,4,Kurt Warner,0.1452516273807204,0
11,4,Florence Henderson,0.14245856008493257,0
11,4,Rick Fox,0.13128505589398384,0
11,4,Kyle Massey,0.12849143063780455,0
11,4,Audrina Patridge,0.11173155576394786,0
11,4,Brandy,0.10614513150346569,0
11,4,Jennifer Grey,0.0837990914456075,0
11,4,The Situation,3.245445018471453e-10,1
11,5,Bristol Palin,0.17032974687756597,0
11,5,Kyle Massey,0.1593412356407702,0
11,5,Audrina Patridge,0.14285691709221857,0
11,5,Rick Fox,0.137362434963293,0
11,5,Kurt Warner,0.137362434963293,0
11,5,Jennifer Grey,0.13186837479448324,0
11,5,Brandy,0.12087885541038451,0
11,5,Florence Henderson,2.579914948380643e-10,1
11,6,Kurt Warner,0.20128830378493426,0
11,6,Bristol Palin,0.17230360388374996,0
11,6,Jennifer Grey,0.16747109440106714,0
11,6,Kyle Massey,0.16264125941574545,0
11,6,Rick Fox,0.1626407621691007,0
11,6,Brandy,0.13365497608823623,0
11,6,Audrina Patridge,2.571663116941591e-10,1
11,7,Bristol Palin,0.21103121875978761,0
11,7,Kyle Massey,0.2062348331982706,0
11,7,Kurt Warner,0.19904079033989674,0
11,7,Jennifer Grey,0.19184657873360453,0
11,7,Brandy,0.19184657873360453,0
11,7,Rick Fox,2.3483593364968506e-10,1
11,8,Bristol Palin,0.27735789556895557,0
11,8,Kyle Massey,0.2433964990421275,0
11,8,Jennifer Grey,0.23962280257283539,0
11,8,Brandy,0.23962280257283539,0
11,8,Kurt Warner,2.4324619738106123e-10,1
11,9,Bristol Palin,0.3508761467096706,0
11,9,Kyle Massey,0.328947471222619,0
11,9,Jennifer Grey,0.3201763815824043,0
11,9,Brandy,4.8530609955598e-10,1
